YearMonth,Fecha,BBVA_Precio cierre,BCOLOMBIA_Precio cierre,BHI_Precio cierre,BMC_Precio cierre,BOGOTA_Precio cierre,BVC_Precio cierre,CELSIA_Precio cierre,CEMARGOS_Precio cierre,CNEC_Precio cierre,CONCONCRETO_Precio cierre,CORFICOL_Precio cierre,ECOPETROL_Precio cierre,ENKA_Precio cierre,ETB_Precio cierre,EXITO_Precio cierre,FABRICATO_Precio cierre,GEB_Precio cierre,GRUBOLIVAR_Precio cierre,GRUPOARGOS_Precio cierre,GRUPOAVAL_Precio cierre,GRUPOSURA_Precio cierre,GXTESCOL_Precio cierre,HCOLSEL_Precio cierre,ICOLCAP_Precio cierre,ISA_Precio cierre,MINEROS_Precio cierre,NUTRESA_Precio cierre,PEI_Precio cierre,PFAVAL_Precio cierre,PFBCOLOMBIA_Precio cierre,PFCEMARGOS_Precio cierre,PFCORFICOL_Precio cierre,PFDAVVNDA_Precio cierre,PFGRUPARG_Precio cierre,PFGRUPOSURA_Precio cierre,PROMIGAS_Precio cierre,TERPEL_Precio cierre
2020-03,0.39900239014945,,0.9147693362460754,,,0.751578047661568,0.28345277573963457,0.8244942520089868,0.9823662027029123,0.513040830110947,-0.43477189504572883,0.9306382247765811,0.9512665423073577,,0.44110413810593224,-0.26462437192109844,,0.422487493749456,0.3016074584681601,0.9338821192151133,-0.0187826758675738,0.9711917661588089,,0.984197333461241,,0.8906093403296707,0.8252129120121747,0.9267274748628895,,0.8461919410632929,0.9296413597373178,0.892214326410095,-0.7026304294312251,0.9618803933149415,0.9790503531527952,0.936560185353915,-0.20393027217536638,-0.26741561402033026
2020-04,0.059802634488944906,,0.868561582627514,,,0.4146417684651228,-0.08080100649050524,0.4971738978295845,0.16479028431589365,-0.03519347188649843,-0.027478961431614074,0.4712496959327532,0.48936648556471823,0.20928537621510532,0.35320120692912277,-0.46663871646952626,0.07918957290585045,0.740071464555132,0.639341868038865,0.42407473115155847,-0.5464131517355877,0.9642031147317955,,-0.32762990728835734,0.9138379043570312,0.48726819922695735,0.02284993155564785,0.3765546763541,,0.5897614560605684,0.9143739030545284,0.47964102284000437,0.23897504737733494,0.5057428617587914,0.6190104682706388,0.5219810154980817,0.1768333124208574,0.5260774825803031
2020-05,-0.3920311971745591,,0.8840014320254236,,,0.600387474772242,0.3898732228151284,0.7536750791825713,0.6146761698347913,0.03162480242087356,0.622395268267337,0.7544820687067121,0.49151073985878774,-0.5419655650021461,0.2914322691720071,-0.09781287679235202,,0.39956602240496497,0.7486731912301793,0.72945915703804,,0.5445683558063511,,0.39360195049147545,0.8950860964885831,-0.07141810378289468,-0.17567812219227158,0.36391285747934105,,0.7447777465287599,0.9403430052909983,0.7854588601177502,0.6521213763853517,0.6152953095309626,0.8506964418772769,0.5332602121739752,0.6286148378522373,0.29796562723195674
2020-06,-0.420907205611656,,0.9560019745759764,,,0.3456821494026168,0.09018521552052253,0.6457434269156925,0.8059574052689641,0.5125836614310278,0.3401213299963925,0.47696166483228913,0.9592597726703559,-0.07541946124132233,0.29980174224351336,0.6365418051747318,0.03349479285659378,0.12911439110414166,0.07619679638869391,0.23599921051772588,0.17107134898419218,0.9304025610476888,,0.841015788472554,0.9605899014163547,0.4094542054213301,0.41023341989310286,0.6038961366384695,,0.8907346586360558,0.9648550393406836,0.6033958009561754,0.0491362340895572,0.5532082030161076,0.6896294133415051,0.8938064854785236,0.4745385833814295,0.4077479459922018
2020-07,0.7913803606261647,,0.5380473494793436,,,0.9201119903008428,0.6321006793103071,0.9165562721724733,0.9608320512376908,0.037648842942022843,0.6950636472698191,-0.5245006538086688,0.8513969188286692,0.49936240396889636,0.1829338402929877,0.2936801869833433,0.1924124747746197,-0.06481666680356826,0.6301581937775329,0.9061591973134846,-0.47178881352662566,0.5985976959229562,,0.8713185344647423,0.9810506760534426,0.7106468380669971,0.8319426658536909,0.47969938997004974,,0.9336296657487965,0.5058455329666337,0.9206161123381044,-0.4446752719863024,-0.23675037952126085,0.755223528770324,0.8726978491883849,0.6790468414651804,0.7664416857691578
2020-08,0.9369948489467771,,0.9180209430221652,,,0.9726171300515648,0.5898715489409047,0.9715857567245128,0.9805848467012525,0.7143345467266661,-0.03725682379345422,0.8687639600730563,0.22647427999055364,-0.829284685361816,0.43167346085147207,0.9209264156570047,0.4742385002947072,0.9398486459463153,0.6924816568660238,0.9769109936762659,0.33875360236753205,0.915360645689601,,0.9717408486646423,0.9915557972898286,0.9273354828235963,-0.45739248415961326,0.8903728458136567,,0.9708912660186368,0.9416779650608992,0.9863863604714096,0.8244930516038631,0.9265669856629293,0.9083799343910651,0.9566964910934327,0.9345233652010885,0.5762848418207528
2020-09,-0.9628980626094729,,0.976841891752351,,,0.6366481236536793,0.6536266074669614,0.4427680345497328,0.9094460210215797,0.29948115924234564,0.758714189560006,0.8558746210075646,0.9120491415104065,0.49567057934330494,0.2351676236476506,0.8724719455028359,0.8115979474108769,-0.3498540729402688,0.8038107905805306,0.8954082446759006,0.8095718545925352,0.8257505374326183,,0.9443173261871626,0.9859292205582061,0.8228043202917933,0.8765050126726245,0.7242134737985253,,0.9277244233384161,0.9801225410889741,0.37640466126649885,0.7417728250095714,0.8774859175031389,0.13577073834307238,0.6264931355038488,-0.7008989802574992,-0.20262366926729722
2020-10,-0.44061088965973355,-0.00983069783959235,0.6843473987129108,,,0.06260955781887959,0.3975886284946951,0.7493723623613572,0.8274312582615927,-0.32101413822257474,0.43134115020423885,-0.16330648210534376,0.8644985932385137,,-0.01290599934401097,0.5378975967371198,,0.8602060116958619,0.7013608577872835,0.6270166859093305,0.494278668231688,0.8465824410035012,,0.8966062027683068,0.9446155775308562,0.44396708824992337,0.14621705744194083,0.43716259225049575,,0.6928958245380598,0.7734105246157335,0.826645969909915,0.42183281177436077,0.510312385569674,0.6344411389748879,0.7721820560672994,0.4094961355624387,-0.27960878259138855
2020-11,0.946739680254395,0.6619032435248781,0.9661319353527373,,,0.7383660153044326,0.8206688170275548,0.7864889729948887,0.9431099384207727,0.8483716877714644,0.8386673274975287,0.9054389893057541,0.9442893029774257,-0.6304065165964948,0.8883388339987659,0.8475568953089614,0.7422939006449961,0.8671574574225699,0.9104918726917755,0.9703566264672527,0.9085171079087183,0.8949670357980712,,0.9800730989791634,0.9958390173219626,0.5823076305993801,-0.1653648268322792,0.6883963023390164,,0.8442525350237295,0.9892395520935922,0.8832259431026807,0.9217581846025439,0.960780643681737,0.833306509095067,0.8830103449924829,0.7691249747556846,0.7155665467849223
2020-12,0.873196629711945,0.41178160997913904,0.9773230781068636,,,0.8678680342667856,0.784471495868079,0.6411078751482964,0.9432504436696176,-0.540080407696423,0.44857852385149893,0.8499786947943851,0.8351535840973595,0.6794463686606643,0.3277715685355026,0.5755144568669585,0.2663856544480489,-0.47929280997205276,0.8820323709286491,0.9732114752239487,0.8749269625613797,0.961057531063722,,0.9718183878070266,0.9894127263970985,0.8656614191462645,0.7916857223454401,0.33717212962404275,,0.9769227057652244,0.9736760416081407,0.9568979255902914,0.7306907143861215,0.9577179356248585,0.9377889631281813,0.9219919198379727,0.1779045409922697,0.246198109412601
