Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2023/03/03;1,214.55;1,189.09;25.46;2.14%;-21.24;-5.56
2023/03/06;1,235.67;1,214.55;21.12;1.74%;-19.67;-3.91
2023/03/07;1,236.75;1,235.67;1.08;0.09%;-19.44;-3.83
2023/03/08;1,241.44;1,236.75;4.69;0.38%;-19.25;-3.47
2023/03/09;1,210.68;1,241.44;-30.76;-2.48%;-21.55;-5.86
2023/03/10;1,187.27;1,210.68;-23.41;-1.93%;-23.32;-7.68
2023/03/13;1,154.07;1,187.27;-33.20;-2.80%;-23.96;-10.26
2023/03/14;1,156.17;1,154.07;2.10;0.18%;-24.04;-10.10
2023/03/15;1,111.75;1,156.17;-44.42;-3.84%;-27.24;-13.55
2023/03/16;1,118.43;1,111.75;6.68;0.60%;-27.51;-13.03
2023/03/17;1,110.39;1,118.43;-8.04;-0.72%;-27.88;-13.66
2023/03/21;1,129.63;1,110.39;19.24;1.73%;-27.39;-12.16
2023/03/22;1,121.24;1,129.63;-8.39;-0.74%;-29.36;-12.81
2023/03/23;1,096.92;1,121.24;-24.32;-2.17%;-31.16;-14.70
2023/03/24;1,106.24;1,096.92;9.32;0.85%;-31.15;-13.98
2023/03/27;1,118.20;1,106.24;11.96;1.08%;-30.05;-13.05
2023/03/28;1,117.41;1,118.20;-0.79;-0.07%;-30.12;-13.11
2023/03/29;1,119.62;1,117.41;2.21;0.20%;-30.08;-12.94
2023/03/30;1,146.36;1,119.62;26.74;2.39%;-29.06;-10.86
2023/03/31;1,157.59;1,146.36;11.23;0.98%;-28.84;-9.99
2023/04/03;1,183.20;1,157.59;25.61;2.21%;-26.89;-7.99
2023/04/04;1,178.51;1,183.20;-4.69;-0.40%;-27.87;-8.36
2023/04/05;1,193.57;1,178.51;15.06;1.28%;-26.59;-7.19
2023/04/10;1,200.34;1,193.57;6.77;0.57%;-26.39;-6.66
2023/04/11;1,221.42;1,200.34;21.08;1.76%;-24.88;-5.02
2023/04/12;1,232.20;1,221.42;10.78;0.88%;-23.70;-4.18
2023/04/13;1,240.27;1,232.20;8.07;0.65%;-22.66;-3.56
2023/04/14;1,253.29;1,240.27;13.02;1.05%;-21.85;-2.54
2023/04/17;1,257.24;1,253.29;3.95;0.32%;-21.60;-2.24
2023/04/18;1,255.16;1,257.24;-2.08;-0.17%;-21.72;-2.40
2023/04/19;1,247.97;1,255.16;-7.19;-0.57%;-23.70;-2.96
2023/04/20;1,244.77;1,247.97;-3.20;-0.26%;-23.01;-3.21
2023/04/21;1,215.94;1,244.77;-28.83;-2.32%;-24.69;-5.45
2023/04/24;1,225.26;1,215.94;9.32;0.77%;-22.25;-4.72
2023/04/25;1,197.65;1,225.26;-27.61;-2.25%;-23.97;-6.87
2023/04/26;1,185.60;1,197.65;-12.05;-1.01%;-25.25;-7.81
2023/04/27;1,167.51;1,185.60;-18.09;-1.53%;-26.70;-9.21
2023/04/28;1,198.81;1,167.51;31.30;2.68%;-23.27;-6.78
2023/05/02;1,157.99;1,198.81;-40.82;-3.41%;-27.32;-9.95
2023/05/03;1,158.68;1,157.99;0.69;0.06%;-28.19;-9.90
2023/05/04;1,158.60;1,158.68;-0.08;-0.01%;-26.74;-9.91
2023/05/05;1,164.18;1,158.60;5.58;0.48%;-25.18;-9.47
