Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2020/03/13;1,174.31;1,174.31;0.00;0.00%;-25.66;-29.36
2020/03/16;997.78;1,174.31;-176.53;-15.03%;-37.88;-39.98
2020/03/17;1,000.50;997.78;2.72;0.27%;-38.00;-39.81
2020/03/18;894.03;1,000.50;-106.47;-10.64%;-45.09;-46.22
2020/03/19;899.75;894.03;5.72;0.64%;-44.84;-45.87
2020/03/20;919.59;899.75;19.84;2.21%;-42.42;-44.68
2020/03/24;923.53;919.59;3.94;0.43%;-42.53;-44.44
2020/03/25;1,046.18;923.53;122.65;13.28%;-33.47;-37.06
2020/03/26;1,167.04;1,046.18;120.86;11.55%;-25.66;-29.79
2020/03/27;1,147.54;1,167.04;-19.50;-1.67%;-27.72;-30.97
2020/03/30;1,129.18;1,147.54;-18.36;-1.60%;-28.61;-32.07
2020/03/31;1,123.85;1,129.18;-5.33;-0.47%;-28.84;-32.39
2020/04/01;1,063.03;1,123.85;-60.82;-5.41%;-33.16;-36.05
2020/04/02;1,114.43;1,063.03;51.40;4.84%;-29.91;-32.96
2020/04/03;1,127.55;1,114.43;13.12;1.18%;-29.52;-32.17
2020/04/06;1,160.12;1,127.55;32.57;2.89%;-28.22;-30.21
2020/04/07;1,163.43;1,160.12;3.31;0.29%;-28.24;-30.01
2020/04/08;1,187.13;1,163.43;23.70;2.04%;-26.95;-28.59
2020/04/13;1,193.98;1,187.13;6.85;0.58%;-24.08;-28.17
2020/04/14;1,211.06;1,193.98;17.08;1.43%;-23.41;-27.15
2020/04/15;1,204.01;1,211.06;-7.05;-0.58%;-23.52;-27.57
2020/04/16;1,202.54;1,204.01;-1.47;-0.12%;-24.42;-27.66
2020/04/17;1,192.08;1,202.54;-10.46;-0.87%;-25.08;-28.29
2020/04/20;1,179.60;1,192.08;-12.48;-1.05%;-25.86;-29.04
2020/04/21;1,131.29;1,179.60;-48.31;-4.10%;-29.07;-31.94
2020/04/22;1,132.78;1,131.29;1.49;0.13%;-29.20;-31.85
2020/04/23;1,151.78;1,132.78;19.00;1.68%;-28.00;-30.71
2020/04/24;1,122.37;1,151.78;-29.41;-2.55%;-29.75;-32.48
2020/04/27;1,116.17;1,122.37;-6.20;-0.55%;-29.81;-32.85
2020/04/28;1,145.34;1,116.17;29.17;2.61%;-27.21;-31.10
2020/04/29;1,145.89;1,145.34;0.55;0.05%;-26.64;-31.07
2020/04/30;1,142.04;1,145.89;-3.85;-0.34%;-26.88;-31.30
2020/05/04;1,105.43;1,142.04;-36.61;-3.21%;-28.64;-33.50
2020/05/05;1,099.28;1,105.43;-6.15;-0.56%;-28.39;-33.87
2020/05/06;1,090.43;1,099.28;-8.85;-0.81%;-29.16;-34.40
2020/05/07;1,113.37;1,090.43;22.94;2.10%;-27.82;-33.02
2020/05/08;1,110.26;1,113.37;-3.11;-0.28%;-28.38;-33.21
2020/05/11;1,104.09;1,110.26;-6.17;-0.56%;-27.16;-33.58
2020/05/12;1,089.29;1,104.09;-14.80;-1.34%;-27.81;-34.47
2020/05/13;1,055.27;1,089.29;-34.02;-3.12%;-29.72;-36.52
2020/05/14;1,052.23;1,055.27;-3.04;-0.29%;-29.99;-36.70
2020/05/15;1,053.75;1,052.23;1.52;0.14%;-29.75;-36.61
2020/05/18;1,082.96;1,053.75;29.21;2.77%;-26.96;-34.85
2020/05/19;1,067.65;1,082.96;-15.31;-1.41%;-28.50;-35.77
2020/05/20;1,072.29;1,067.65;4.64;0.43%;-28.00;-35.49
2020/05/21;1,066.11;1,072.29;-6.18;-0.58%;-27.58;-35.86
2020/05/22;1,057.66;1,066.11;-8.45;-0.79%;-28.98;-36.37
2020/05/26;1,072.78;1,057.66;15.12;1.43%;-26.69;-35.46
2020/05/27;1,088.42;1,072.78;15.64;1.46%;-26.54;-34.52
2020/05/28;1,085.55;1,088.42;-2.87;-0.26%;-27.00;-34.70
2020/05/29;1,095.84;1,085.55;10.29;0.95%;-26.30;-34.08
2020/06/01;1,117.02;1,095.84;21.18;1.93%;-25.40;-32.80
2020/06/02;1,117.69;1,117.02;0.67;0.06%;-25.35;-32.76
2020/06/03;1,158.05;1,117.69;40.36;3.61%;-21.93;-30.33
2020/06/04;1,163.84;1,158.05;5.79;0.50%;-21.88;-29.99
2020/06/05;1,203.07;1,163.84;39.23;3.37%;-20.31;-27.63
2020/06/08;1,228.24;1,203.07;25.17;2.09%;-18.07;-26.11
2020/06/09;1,209.99;1,228.24;-18.25;-1.49%;-20.39;-27.21
2020/06/10;1,177.99;1,209.99;-32.00;-2.64%;-22.15;-29.14
2020/06/11;1,121.55;1,177.99;-56.44;-4.79%;-26.29;-32.53
2020/06/12;1,143.13;1,121.55;21.58;1.92%;-25.10;-31.23
2020/06/16;1,154.63;1,143.13;11.50;1.01%;-24.91;-30.54
2020/06/17;1,139.30;1,154.63;-15.33;-1.33%;-26.31;-31.46
2020/06/18;1,139.00;1,139.30;-0.30;-0.03%;-26.73;-31.48
2020/06/19;1,161.41;1,139.00;22.41;1.97%;-25.55;-30.13
2020/06/23;1,143.28;1,161.41;-18.13;-1.56%;-26.61;-31.22
2020/06/24;1,125.48;1,143.28;-17.80;-1.56%;-27.37;-32.29
2020/06/25;1,125.03;1,125.48;-0.45;-0.04%;-27.30;-32.32
2020/06/26;1,110.65;1,125.03;-14.38;-1.28%;-28.29;-33.19
2020/06/30;1,111.80;1,110.65;1.15;0.10%;-27.98;-33.12
2020/07/01;1,109.91;1,111.80;-1.89;-0.17%;-29.02;-33.23
2020/07/02;1,118.97;1,109.91;9.06;0.82%;-28.54;-32.69
2020/07/03;1,125.26;1,118.97;6.29;0.56%;-28.74;-32.31
2020/07/06;1,129.47;1,125.26;4.21;0.37%;-28.56;-32.05
2020/07/07;1,131.84;1,129.47;2.37;0.21%;-28.76;-31.91
2020/07/08;1,153.54;1,131.84;21.70;1.92%;-27.94;-30.61
2020/07/09;1,143.10;1,153.54;-10.44;-0.91%;-28.57;-31.23
2020/07/10;1,147.78;1,143.10;4.68;0.41%;-28.49;-30.95
2020/07/13;1,145.16;1,147.78;-2.62;-0.23%;-28.65;-31.11
