Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2022/03/01;1,538.57;1,527.75;10.82;0.71%;13.96;9.04
2022/03/02;1,530.30;1,538.57;-8.27;-0.54%;13.58;8.45
2022/03/03;1,534.45;1,530.30;4.15;0.27%;14.75;8.75
2022/03/04;1,542.13;1,534.45;7.68;0.50%;14.68;9.29
2022/03/07;1,538.27;1,542.13;-3.86;-0.25%;15.05;9.02
2022/03/08;1,535.28;1,538.27;-2.99;-0.19%;14.42;8.81
2022/03/09;1,537.52;1,535.28;2.24;0.15%;14.10;8.96
2022/03/10;1,543.26;1,537.52;5.74;0.37%;14.28;9.37
2022/03/11;1,548.46;1,543.26;5.20;0.34%;14.38;9.74
2022/03/14;1,517.85;1,548.46;-30.61;-1.98%;11.85;7.57
2022/03/15;1,522.19;1,517.85;4.34;0.29%;12.74;7.88
2022/03/16;1,528.12;1,522.19;5.93;0.39%;13.73;8.30
2022/03/17;1,542.97;1,528.12;14.85;0.97%;16.39;9.35
2022/03/18;1,539.70;1,542.97;-3.27;-0.21%;16.24;9.12
2022/03/22;1,555.86;1,539.70;16.16;1.05%;17.88;10.26
2022/03/23;1,587.40;1,555.86;31.54;2.03%;19.77;12.50
2022/03/24;1,593.50;1,587.40;6.10;0.38%;20.70;12.93
2022/03/25;1,606.88;1,593.50;13.38;0.84%;22.24;13.88
2022/03/28;1,598.58;1,606.88;-8.30;-0.52%;21.02;13.29
2022/03/29;1,599.18;1,598.58;0.60;0.04%;20.48;13.33
2022/03/30;1,601.35;1,599.18;2.17;0.14%;21.60;13.49
2022/03/31;1,616.08;1,601.35;14.73;0.92%;22.06;14.53
2022/04/01;1,626.89;1,616.08;10.81;0.67%;22.87;15.30
2022/04/04;1,618.39;1,626.80;-8.41;-0.52%;22.23;14.70
2022/04/05;1,633.95;1,618.39;15.56;0.96%;23.37;15.80
2022/04/06;1,626.10;1,633.95;-7.85;-0.48%;21.72;15.24
2022/04/07;1,628.85;1,626.10;2.75;0.17%;22.84;15.44
2022/04/08;1,625.53;1,628.85;-3.32;-0.20%;22.94;15.20
2022/04/11;1,630.89;1,625.53;5.36;0.33%;23.76;15.58
2022/04/12;1,626.17;1,630.89;-4.72;-0.29%;23.89;15.25
2022/04/13;1,615.12;1,626.17;-11.05;-0.68%;22.26;14.46
