Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2025/04/22;1,631.26;1,619.72;11.54;0.71%;21.01;18.24
2025/04/23;1,642.84;1,631.26;11.58;0.71%;22.29;19.08
2025/04/24;1,634.48;1,642.84;-8.36;-0.51%;21.07;18.47
2025/04/25;1,641.69;1,634.48;7.21;0.44%;20.12;18.99
2025/04/28;1,618.19;1,641.69;-23.50;-1.43%;17.17;17.29
2025/04/29;1,620.80;1,618.19;2.61;0.16%;19.41;17.48
2025/04/30;1,636.51;1,620.80;15.71;0.97%;18.69;18.62
2025/05/02;1,641.99;1,636.51;5.48;0.33%;18.50;19.02
2025/05/05;1,642.08;1,641.99;0.09;0.01%;18.99;19.02
2025/05/06;1,648.51;1,642.08;6.43;0.39%;19.40;19.49
2025/05/07;1,641.08;1,648.51;-7.43;-0.45%;18.56;18.95
