Fecha;Valor hoy;Valor ayer;Variación absoluta;Variación porcentual;Variación 12 meses;Variación año
2025/05/19;1,658.24;1,646.92;11.32;0.69%;15.02;20.19
2025/05/20;1,662.69;1,658.24;4.45;0.27%;15.40;20.52
2025/05/21;1,649.50;1,662.69;-13.19;-0.79%;17.04;19.56
2025/05/22;1,641.31;1,649.50;-8.19;-0.50%;16.70;18.97
2025/05/23;1,654.73;1,641.31;13.42;0.82%;17.54;19.94
2025/05/26;1,652.91;1,654.73;-1.82;-0.11%;16.92;19.81
2025/05/27;1,640.95;1,652.91;-11.96;-0.72%;16.49;18.94
2025/05/28;1,647.24;1,640.95;6.29;0.38%;18.13;19.40
2025/05/29;1,636.59;1,647.24;-10.65;-0.65%;16.58;18.62
2025/05/30;1,608.90;1,636.59;-27.69;-1.69%;14.92;16.62
2025/06/03;1,643.59;1,608.90;34.69;2.16%;17.06;19.13
2025/06/04;1,651.36;1,643.59;7.77;0.47%;17.41;19.70
2025/06/05;1,655.95;1,651.36;4.59;0.28%;17.39;20.03
2025/06/06;1,651.21;1,655.95;-4.74;-0.29%;16.94;19.68
2025/06/09;1,635.71;1,651.21;-15.50;-0.94%;17.83;18.56
2025/06/10;1,649.53;1,635.71;13.82;0.84%;18.83;19.56
2025/06/11;1,659.35;1,649.53;9.82;0.60%;20.17;20.27
2025/06/12;1,648.88;1,659.35;-10.47;-0.63%;18.95;19.52
2025/06/13;1,648.92;1,648.88;0.04;0.00%;19.65;19.52
2025/06/16;1,633.17;1,648.92;-15.75;-0.96%;18.46;18.38
